Temperatura (°C),Anomalia
22.27384133165071,No
22.717387382821546,No
21.734961112373764,No
21.83733164700598,No
21.670134441908395,No
22.472723009981618,No
22.178997349960355,No
21.962213484369194,No
21.565093366970896,No
22.322735183730604,No
22.19579466931005,No
25.075420135457122,Si
21.31121513393884,No
9.602470319600695,Si
21.810262945342767,No
22.18595488296049,No
21.432787364002657,No
21.70413097034154,No
22.152859139259032,No
22.407046407788517,No
22.079775257785567,No
22.21683971366528,No
21.89274011201643,No
22.296674505736245,No
22.06751269618773,No
7.462705575142461,Si
13.725628242173913,Si
35.19295048587561,Si
11.99943889894743,Si
22.29016497525328,No
22.25047461477454,No
22.028324351157256,No
21.64420165169629,No
22.83992521238542,No
21.881618781734776,No
22.02900247068937,No
21.69604540733619,No
22.25679515675876,No
22.953527667362657,Si
21.865432271734456,No
21.746943790530274,No
21.778958309861878,No
22.33593374164728,No
21.692257896667922,No
21.209536814369535,No
22.139021909025768,No
22.259258271549257,No
22.18125412437485,No
21.95019902600259,No
21.743309173156693,No
21.839845006031393,No
21.542703668794328,No
22.217354539192353,No
21.89287986545304,No
22.284236881884908,No
22.62433327755739,No
21.330078668516965,No
21.80487477653832,No
22.709091451518084,No
21.651655177539364,No
22.02128206071329,No
21.37725362066447,No
21.864703826485513,No
22.673695162094898,No
21.65282289426641,No
21.640115330483532,No
22.30625751130564,No
22.716469947482025,No
22.413659294097577,No
21.991414409505065,No
21.609941452325877,No
22.097943965172316,No
22.21097976338622,No
21.62504956728866,No
21.19565805837791,No
21.620680578093207,No
22.16419033539982,No
21.388252967241673,No
20.953095729839987,Si
21.102549780038416,No
22.760132536910454,No
21.107141597188466,No
22.36132484402886,No
22.58613483481472,No
22.139863460865016,No
22.44478705156683,No
23.365209205412153,Si
22.001448428934577,No
21.95438197841104,No
22.0357700319222,No
21.93674625473461,No
21.84880359604921,No
21.658289419155142,No
21.760916487094256,No
22.309627932747794,No
21.696899952748236,No
22.2092885244515,No
35.74197874618477,Si
22.51129734129051,No
22.58443413085654,No
